Date,open,high,low,close,volume
1968-04-02,37.6,37.6,37.6,37.6,0
1968-04-03,37.7,37.7,37.7,37.7,0
1968-04-04,36.7,36.7,36.7,36.7,0
1968-04-05,37.2,37.2,37.2,37.2,0
1968-04-08,37.0,37.0,37.0,37.0,0
1968-04-09,37.25,37.25,37.25,37.25,0
1968-04-10,37.6,37.6,37.6,37.6,0
1968-04-11,38.05,38.05,38.05,38.05,0
1968-04-12,38.05,38.05,38.05,38.05,0
1968-04-15,38.05,38.05,38.05,38.05,0
1968-04-16,38.1,38.1,38.1,38.1,0
1968-04-17,38.0,38.0,38.0,38.0,0
1968-04-18,37.6,37.6,37.6,37.6,0
1968-04-19,37.65,37.65,37.65,37.65,0
1968-04-22,38.3,38.3,38.3,38.3,0
1968-04-23,38.05,38.05,38.05,38.05,0
1968-04-24,38.35,38.35,38.35,38.35,0
1968-04-25,38.25,38.25,38.25,38.25,0
1968-04-26,38.5,38.5,38.5,38.5,0
1968-04-29,38.55,38.55,38.55,38.55,0
1968-04-30,39.1,39.1,39.1,39.1,0
1968-05-01,39.1,39.1,39.1,39.1,0
1968-05-02,39.25,39.25,39.25,39.25,0
1968-05-03,39.6,39.6,39.6,39.6,0
1968-05-06,39.7,39.7,39.7,39.7,0
1968-05-07,39.3,39.3,39.3,39.3,0
1968-05-08,39.5,39.5,39.5,39.5,0
1968-05-09,39.7,39.7,39.7,39.7,0
1968-05-10,39.8,39.8,39.8,39.8,0
1968-05-13,39.4,39.4,39.4,39.4,0
1968-05-14,39.6,39.6,39.6,39.6,0
1968-05-15,40.1,40.1,40.1,40.1,0
1968-05-16,40.85,40.85,40.85,40.85,0
1968-05-17,41.6,41.6,41.6,41.6,0
1968-05-20,42.0,42.0,42.0,42.0,0
1968-05-21,42.6,42.6,42.6,42.6,0
1968-05-22,42.2,42.2,42.2,42.2,0
1968-05-23,41.5,41.5,41.5,41.5,0
1968-05-24,41.75,41.75,41.75,41.75,0
1968-05-27,41.5,41.5,41.5,41.5,0
1968-05-28,41.6,41.6,41.6,41.6,0
1968-05-29,41.5,41.5,41.5,41.5,0
1968-05-30,41.75,41.75,41.75,41.75,0
1968-05-31,42.0,42.0,42.0,42.0,0
1968-06-03,42.0,42.0,42.0,42.0,0
1968-06-04,41.2,41.2,41.2,41.2,0
1968-06-05,41.4,41.4,41.4,41.4,0
1968-06-06,41.25,41.25,41.25,41.25,0
1968-06-07,41.2,41.2,41.2,41.2,0
1968-06-10,41.35,41.35,41.35,41.35,0
1968-06-11,41.3,41.3,41.3,41.3,0
1968-06-12,42.1,42.1,42.1,42.1,0
1968-06-13,41.4,41.4,41.4,41.4,0
1968-06-14,40.2,40.2,40.2,40.2,0
1968-06-17,40.9,40.9,40.9,40.9,0
1968-06-18,40.7,40.7,40.7,40.7,0
1968-06-19,41.4,41.4,41.4,41.4,0
1968-06-20,41.05,41.05,41.05,41.05,0
1968-06-21,41.05,41.05,41.05,41.05,0
1968-06-24,41.05,41.05,41.05,41.05,0
1968-06-25,40.85,40.85,40.85,40.85,0
1968-06-26,40.95,40.95,40.95,40.95,0
1968-06-27,40.8,40.8,40.8,40.8,0
1968-06-28,40.95,40.95,40.95,40.95,0
1968-07-01,40.9,40.9,40.9,40.9,0
1968-07-02,40.85,40.85,40.85,40.85,0
1968-07-03,40.9,40.9,40.9,40.9,0
1968-07-04,41.05,41.05,41.05,41.05,0
1968-07-05,41.1,41.1,41.1,41.1,0
1968-07-08,40.95,40.95,40.95,40.95,0
1968-07-09,40.6,40.6,40.6,40.6,0
1968-07-10,40.15,40.15,40.15,40.15,0
1968-07-11,39.4,39.4,39.4,39.4,0
1968-07-12,39.1,39.1,39.1,39.1,0
1968-07-15,39.15,39.15,39.15,39.15,0
1968-07-16,38.9,38.9,38.9,38.9,0
1968-07-17,37.8,37.8,37.8,37.8,0
1968-07-18,38.0,38.0,38.0,38.0,0
1968-07-19,39.1,39.1,39.1,39.1,0
1968-07-22,38.65,38.65,38.65,38.65,0
1968-07-23,38.65,38.65,38.65,38.65,0
1968-07-24,39.2,39.2,39.2,39.2,0
1968-07-25,39.1,39.1,39.1,39.1,0
1968-07-26,38.75,38.75,38.75,38.75,0
1968-07-29,38.9,38.9,38.9,38.9,0
1968-07-30,39.1,39.1,39.1,39.1,0
1968-07-31,38.9,38.9,38.9,38.9,0
1968-08-01,38.8,38.8,38.8,38.8,0
1968-08-02,38.8,38.8,38.8,38.8,0
1968-08-05,38.85,38.85,38.85,38.85,0
1968-08-06,38.85,38.85,38.85,38.85,0
1968-08-07,38.8,38.8,38.8,38.8,0
1968-08-08,38.55,38.55,38.55,38.55,0
1968-08-09,38.45,38.45,38.45,38.45,0
1968-08-12,38.6,38.6,38.6,38.6,0
1968-08-13,38.75,38.75,38.75,38.75,0
1968-08-14,38.95,38.95,38.95,38.95,0
1968-08-15,39.0,39.0,39.0,39.0,0
1968-08-16,39.1,39.1,39.1,39.1,0
1968-08-19,39.15,39.15,39.15,39.15,0
1968-08-20,39.35,39.35,39.35,39.35,0
1968-08-21,40.3,40.3,40.3,40.3,0
1968-08-22,39.65,39.65,39.65,39.65,0
1968-08-23,39.65,39.65,39.65,39.65,0
1968-08-26,39.4,39.4,39.4,39.4,0
1968-08-27,39.55,39.55,39.55,39.55,0
1968-08-28,39.55,39.55,39.55,39.55,0
1968-08-29,39.8,39.8,39.8,39.8,0
1968-08-30,39.85,39.85,39.85,39.85,0
1968-09-02,39.85,39.85,39.85,39.85,0
1968-09-03,39.975,39.975,39.975,39.975,0
1968-09-04,39.9,39.9,39.9,39.9,0
1968-09-05,39.95,39.95,39.95,39.95,0
1968-09-06,40.0,40.0,40.0,40.0,0
1968-09-09,40.0,40.0,40.0,40.0,0
1968-09-10,40.0,40.0,40.0,40.0,0
1968-09-11,40.0,40.0,40.0,40.0,0
1968-09-12,40.05,40.05,40.05,40.05,0
1968-09-13,40.175,40.175,40.175,40.175,0
1968-09-16,40.2,40.2,40.2,40.2,0
1968-09-17,40.55,40.55,40.55,40.55,0
1968-09-18,40.45,40.45,40.45,40.45,0
1968-09-19,40.525,40.525,40.525,40.525,0
1968-09-20,40.5,40.5,40.5,40.5,0
1968-09-23,40.425,40.425,40.425,40.425,0
1968-09-24,40.475,40.475,40.475,40.475,0
1968-09-25,40.425,40.425,40.425,40.425,0
1968-09-26,40.45,40.45,40.45,40.45,0
1968-09-27,40.3,40.3,40.3,40.3,0
1968-09-30,39.7,39.7,39.7,39.7,0
1968-10-01,39.6,39.6,39.6,39.6,0
1968-10-02,38.3,38.3,38.3,38.3,0
1968-10-03,39.0,39.0,39.0,39.0,0
1968-10-04,38.9,38.9,38.9,38.9,0
1968-10-07,39.8,39.8,39.8,39.8,0
1968-10-08,39.75,39.75,39.75,39.75,0
1968-10-09,39.2,39.2,39.2,39.2,0
1968-10-10,38.825,38.825,38.825,38.825,0
1968-10-11,39.2,39.2,39.2,39.2,0
1968-10-14,39.3,39.3,39.3,39.3,0
1968-10-15,39.2,39.2,39.2,39.2,0
1968-10-16,38.95,38.95,38.95,38.95,0
1968-10-17,39.2,39.2,39.2,39.2,0
1968-10-18,39.4,39.4,39.4,39.4,0
1968-10-21,39.1,39.1,39.1,39.1,0
1968-10-22,38.95,38.95,38.95,38.95,0
1968-10-23,39.175,39.175,39.175,39.175,0
1968-10-24,39.2,39.2,39.2,39.2,0
1968-10-25,39.3,39.3,39.3,39.3,0
1968-10-28,39.375,39.375,39.375,39.375,0
1968-10-29,39.6,39.6,39.6,39.6,0
1968-10-30,39.3,39.3,39.3,39.3,0
1968-10-31,39.2,39.2,39.2,39.2,0
1968-11-01,38.9,38.9,38.9,38.9,0
1968-11-04,39.25,39.25,39.25,39.25,0
1968-11-05,39.325,39.325,39.325,39.325,0
1968-11-06,39.5,39.5,39.5,39.5,0
1968-11-07,39.525,39.525,39.525,39.525,0
1968-11-08,39.4,39.4,39.4,39.4,0
1968-11-11,39.5,39.5,39.5,39.5,0
1968-11-12,39.725,39.725,39.725,39.725,0
1968-11-13,39.75,39.75,39.75,39.75,0
1968-11-14,39.75,39.75,39.75,39.75,0
1968-11-15,40.0,40.0,40.0,40.0,0
1968-11-18,40.0,40.0,40.0,40.0,0
1968-11-19,40.05,40.05,40.05,40.05,0
1968-11-20,40.75,40.75,40.75,40.75,0
1968-11-21,40.25,40.25,40.25,40.25,0
1968-11-22,40.2,40.2,40.2,40.2,0
1968-11-25,40.3,40.3,40.3,40.3,0
1968-11-26,40.075,40.075,40.075,40.075,0
1968-11-27,39.75,39.75,39.75,39.75,0
1968-11-28,39.85,39.85,39.85,39.85,0
1968-11-29,39.85,39.85,39.85,39.85,0
1968-12-02,39.9,39.9,39.9,39.9,0
1968-12-03,40.15,40.15,40.15,40.15,0
1968-12-04,40.775,40.775,40.775,40.775,0
1968-12-05,40.45,40.45,40.45,40.45,0
1968-12-06,40.35,40.35,40.35,40.35,0
1968-12-09,40.625,40.625,40.625,40.625,0
1968-12-10,40.675,40.675,40.675,40.675,0
1968-12-11,40.75,40.75,40.75,40.75,0
1968-12-12,41.3,41.3,41.3,41.3,0
1968-12-13,40.9,40.9,40.9,40.9,0
1968-12-16,40.975,40.975,40.975,40.975,0
1968-12-17,41.2,41.2,41.2,41.2,0
1968-12-18,41.825,41.825,41.825,41.825,0
1968-12-19,41.675,41.675,41.675,41.675,0
1968-12-20,41.65,41.65,41.65,41.65,0
1968-12-23,41.7,41.7,41.7,41.7,0
1968-12-24,41.7,41.7,41.7,41.7,0
1968-12-25,41.7,41.7,41.7,41.7,0
1968-12-26,41.7,41.7,41.7,41.7,0
1968-12-27,41.7,41.7,41.7,41.7,0
1968-12-30,42.0,42.0,42.0,42.0,0
1968-12-31,41.95,41.95,41.95,41.95,0
1969-01-01,41.95,41.95,41.95,41.95,0
1969-01-02,41.8,41.8,41.8,41.8,0
1969-01-03,41.9,41.9,41.9,41.9,0
1969-01-06,42.025,42.025,42.025,42.025,0
1969-01-07,42.1,42.1,42.1,42.1,0
1969-01-08,42.45,42.45,42.45,42.45,0
1969-01-09,42.475,42.475,42.475,42.475,0
1969-01-10,42.3,42.3,42.3,42.3,0
1969-01-13,42.0,42.0,42.0,42.0,0
1969-01-14,42.4,42.4,42.4,42.4,0
1969-01-15,42.75,42.75,42.75,42.75,0
1969-01-16,42.7,42.7,42.7,42.7,0
1969-01-17,41.9,41.9,41.9,41.9,0
